Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:15:00 PM,10.0,Tuesday,57.0,8.0,12.0,,106.0,normal
,10.0,Tuesday,20.0,6.0,4.0,20.0,50.0,normal
,10.0,Tuesday,24.0,9.0,14.0,23.0,70.0,normal
1:00:00 PM,10.0,Tuesday,52.0,10.0,13.0,,96.0,
1:15:00 PM,10.0,Tuesday,,15.0,,18.0,148.0,
1:30:00 PM,,Tuesday,84.0,24.0,,18.0,148.0,normal
1:45:00 PM,10.0,Tuesday,59.0,19.0,35.0,,129.0,high
2:00:00 PM,,Tuesday,88.0,26.0,31.0,19.0,164.0,
2:15:00 PM,10.0,Tuesday,,11.0,32.0,13.0,,normal
2:30:00 PM,10.0,Tuesday,110.0,17.0,23.0,20.0,170.0,heavy
2:45:00 PM,10.0,Tuesday,29.0,26.0,,6.0,,low
3:00:00 PM,10.0,Tuesday,43.0,26.0,11.0,20.0,100.0,normal
3:15:00 PM,,Tuesday,68.0,28.0,9.0,15.0,120.0,normal
3:30:00 PM,10.0,Tuesday,108.0,16.0,8.0,18.0,150.0,normal
3:45:00 PM,10.0,Tuesday,101.0,26.0,8.0,14.0,149.0,normal
4:00:00 PM,10.0,Tuesday,141.0,31.0,36.0,6.0,214.0,heavy
4:15:00 PM,10.0,Tuesday,120.0,25.0,28.0,5.0,178.0,heavy
4:30:00 PM,10.0,Tuesday,137.0,23.0,44.0,5.0,,heavy
4:45:00 PM,10.0,Tuesday,124.0,11.0,30.0,7.0,172.0,heavy
5:00:00 PM,10.0,Tuesday,145.0,25.0,49.0,7.0,226.0,heavy
5:15:00 PM,10.0,Tuesday,,37.0,,8.0,190.0,heavy
5:30:00 PM,10.0,Tuesday,136.0,30.0,20.0,9.0,195.0,heavy
5:45:00 PM,,Tuesday,145.0,18.0,40.0,9.0,212.0,heavy
6:00:00 PM,10.0,Tuesday,138.0,34.0,28.0,5.0,205.0,heavy
6:15:00 PM,10.0,Tuesday,123.0,10.0,29.0,8.0,170.0,heavy
6:30:00 PM,10.0,Tuesday,105.0,15.0,21.0,9.0,150.0,
6:45:00 PM,10.0,Tuesday,75.0,22.0,20.0,,128.0,normal
7:00:00 PM,10.0,Tuesday,90.0,12.0,10.0,13.0,125.0,normal
7:15:00 PM,10.0,Tuesday,102.0,22.0,20.0,16.0,160.0,normal
7:30:00 PM,10.0,Tuesday,,18.0,15.0,27.0,121.0,high
7:45:00 PM,10.0,Tuesday,70.0,8.0,14.0,6.0,,low
8:00:00 PM,10.0,Tuesday,80.0,17.0,12.0,34.0,143.0,high
8:15:00 PM,10.0,Tuesday,62.0,,,19.0,,normal
,10.0,Tuesday,96.0,,11.0,13.0,125.0,normal
8:45:00 PM,,Tuesday,102.0,6.0,,13.0,133.0,normal
9:00:00 PM,10.0,Tuesday,91.0,14.0,15.0,6.0,126.0,normal
9:15:00 PM,10.0,Tuesday,95.0,8.0,17.0,13.0,133.0,normal
9:30:00 PM,,Tuesday,75.0,15.0,12.0,21.0,123.0,high
9:45:00 PM,10.0,Tuesday,53.0,21.0,20.0,10.0,104.0,normal
10:00:00 PM,10.0,Tuesday,13.0,1.0,0.0,19.0,33.0,normal
10:15:00 PM,10.0,Tuesday,10.0,0.0,1.0,24.0,35.0,normal
10:30:00 PM,10.0,Tuesday,16.0,2.0,0.0,33.0,51.0,normal
10:45:00 PM,10.0,Tuesday,11.0,1.0,0.0,29.0,41.0,normal
11:00:00 PM,10.0,Tuesday,18.0,2.0,1.0,13.0,34.0,normal
11:15:00 PM,10.0,Tuesday,15.0,0.0,1.0,,27.0,low
11:30:00 PM,10.0,Tuesday,14.0,1.0,0.0,,48.0,normal
11:45:00 PM,10.0,Tuesday,17.0,2.0,0.0,22.0,41.0,normal
12:00:00 AM,11.0,,12.0,2.0,1.0,17.0,32.0,normal
,11.0,Wednesday,18.0,0.0,0.0,29.0,,normal
12:30:00 AM,11.0,Wednesday,16.0,1.0,0.0,14.0,31.0,normal
12:45:00 AM,11.0,Wednesday,20.0,0.0,,14.0,34.0,normal
1:00:00 AM,11.0,Wednesday,20.0,1.0,,30.0,52.0,normal
1:15:00 AM,11.0,,15.0,0.0,1.0,23.0,39.0,normal
1:30:00 AM,11.0,Wednesday,16.0,0.0,1.0,26.0,43.0,normal
1:45:00 AM,11.0,Wednesday,18.0,4.0,0.0,11.0,33.0,low
2:00:00 AM,11.0,Wednesday,17.0,3.0,1.0,36.0,,normal
2:15:00 AM,11.0,Wednesday,14.0,4.0,1.0,10.0,29.0,
2:30:00 AM,11.0,Wednesday,18.0,2.0,,25.0,46.0,normal
,,Wednesday,12.0,2.0,0.0,19.0,33.0,
3:00:00 AM,11.0,Wednesday,11.0,4.0,0.0,30.0,45.0,
3:15:00 AM,11.0,Wednesday,19.0,1.0,1.0,36.0,57.0,normal
3:30:00 AM,11.0,Wednesday,,4.0,0.0,,50.0,normal
3:45:00 AM,11.0,Wednesday,20.0,1.0,1.0,32.0,54.0,normal
4:00:00 AM,11.0,Wednesday,15.0,5.0,1.0,40.0,61.0,normal
4:15:00 AM,11.0,Wednesday,104.0,6.0,5.0,1.0,116.0,normal
4:30:00 AM,11.0,Wednesday,109.0,25.0,3.0,8.0,145.0,normal
,11.0,Wednesday,82.0,23.0,8.0,20.0,133.0,normal
5:00:00 AM,,Wednesday,81.0,25.0,1.0,18.0,125.0,
5:15:00 AM,11.0,Wednesday,,16.0,10.0,1.0,122.0,normal
5:30:00 AM,11.0,Wednesday,91.0,24.0,7.0,6.0,128.0,normal
5:45:00 AM,11.0,Wednesday,81.0,30.0,10.0,0.0,121.0,normal
6:00:00 AM,11.0,Wednesday,125.0,13.0,26.0,2.0,,high
6:15:00 AM,11.0,Wednesday,125.0,39.0,49.0,3.0,216.0,heavy
6:30:00 AM,11.0,Wednesday,125.0,34.0,,1.0,197.0,
6:45:00 AM,,Wednesday,125.0,19.0,25.0,,,heavy
7:00:00 AM,11.0,Wednesday,125.0,15.0,,,189.0,heavy
7:15:00 AM,11.0,Wednesday,125.0,32.0,50.0,5.0,212.0,
7:30:00 AM,11.0,Wednesday,125.0,38.0,50.0,1.0,214.0,heavy
7:45:00 AM,11.0,Wednesday,125.0,,29.0,3.0,186.0,heavy
8:00:00 AM,11.0,Wednesday,125.0,31.0,48.0,4.0,208.0,heavy
8:15:00 AM,11.0,Wednesday,125.0,32.0,50.0,0.0,207.0,heavy
8:30:00 AM,11.0,Wednesday,125.0,31.0,45.0,0.0,201.0,heavy
8:45:00 AM,11.0,Wednesday,,21.0,20.0,1.0,167.0,normal
9:00:00 AM,11.0,,125.0,28.0,36.0,0.0,189.0,heavy
9:15:00 AM,11.0,Wednesday,39.0,,,16.0,102.0,normal
9:30:00 AM,11.0,Wednesday,89.0,8.0,12.0,13.0,122.0,normal
,11.0,Wednesday,51.0,16.0,16.0,13.0,96.0,normal
10:00:00 AM,11.0,Wednesday,,9.0,18.0,28.0,72.0,normal
10:15:00 AM,11.0,Wednesday,48.0,25.0,36.0,21.0,130.0,high
10:30:00 AM,11.0,Wednesday,93.0,,30.0,16.0,146.0,high
10:45:00 AM,11.0,Wednesday,55.0,15.0,36.0,15.0,121.0,high
11:00:00 AM,11.0,Wednesday,51.0,10.0,8.0,,91.0,normal
11:15:00 AM,11.0,Wednesday,51.0,7.0,3.0,24.0,85.0,normal
11:30:00 AM,11.0,Wednesday,51.0,9.0,7.0,30.0,97.0,normal
11:45:00 AM,,Wednesday,,7.0,14.0,20.0,92.0,normal
12:00:00 PM,11.0,Wednesday,51.0,10.0,14.0,20.0,,normal
12:15:00 PM,11.0,Wednesday,51.0,10.0,6.0,,89.0,normal
12:30:00 PM,11.0,Wednesday,51.0,8.0,11.0,22.0,92.0,normal
,11.0,Wednesday,51.0,6.0,10.0,26.0,93.0,normal
1:00:00 PM,11.0,Wednesday,51.0,,7.0,27.0,92.0,normal
1:15:00 PM,11.0,Wednesday,104.0,17.0,,,166.0,normal
1:30:00 PM,11.0,Wednesday,6.0,28.0,27.0,14.0,75.0,normal
1:45:00 PM,11.0,Wednesday,54.0,29.0,37.0,9.0,,high
2:00:00 PM,11.0,Wednesday,43.0,13.0,30.0,20.0,106.0,normal
2:15:00 PM,11.0,Wednesday,60.0,21.0,26.0,11.0,118.0,high
2:30:00 PM,11.0,,101.0,23.0,8.0,20.0,152.0,normal
2:45:00 PM,,,62.0,26.0,19.0,11.0,118.0,normal
3:00:00 PM,11.0,Wednesday,39.0,24.0,13.0,11.0,87.0,
3:15:00 PM,11.0,Wednesday,90.0,20.0,35.0,7.0,152.0,high
,11.0,Wednesday,109.0,30.0,,20.0,181.0,heavy
3:45:00 PM,11.0,,68.0,26.0,25.0,20.0,139.0,normal
4:00:00 PM,,Wednesday,142.0,,37.0,6.0,207.0,
4:15:00 PM,11.0,Wednesday,113.0,14.0,20.0,5.0,,
4:30:00 PM,11.0,Wednesday,142.0,13.0,37.0,8.0,200.0,heavy
4:45:00 PM,11.0,Wednesday,108.0,23.0,26.0,9.0,166.0,
5:00:00 PM,11.0,Wednesday,122.0,29.0,30.0,7.0,,heavy
5:15:00 PM,11.0,Wednesday,133.0,,30.0,7.0,182.0,heavy
5:30:00 PM,11.0,Wednesday,118.0,23.0,38.0,10.0,189.0,heavy
5:45:00 PM,11.0,Wednesday,121.0,35.0,26.0,8.0,,heavy
,11.0,Wednesday,116.0,23.0,20.0,8.0,167.0,normal
6:15:00 PM,11.0,Wednesday,132.0,12.0,27.0,8.0,179.0,heavy
,11.0,Wednesday,144.0,17.0,33.0,7.0,201.0,heavy
6:45:00 PM,11.0,Wednesday,103.0,21.0,11.0,11.0,146.0,normal
7:00:00 PM,11.0,Wednesday,107.0,15.0,10.0,15.0,147.0,normal
7:15:00 PM,11.0,Wednesday,50.0,10.0,10.0,17.0,87.0,normal
7:30:00 PM,11.0,Wednesday,,15.0,10.0,6.0,139.0,normal
7:45:00 PM,11.0,Wednesday,108.0,24.0,15.0,29.0,176.0,heavy
8:00:00 PM,11.0,Wednesday,101.0,,15.0,13.0,135.0,normal
8:15:00 PM,11.0,Wednesday,55.0,17.0,,19.0,103.0,normal
8:30:00 PM,,Wednesday,77.0,7.0,20.0,16.0,120.0,
8:45:00 PM,11.0,Wednesday,91.0,12.0,19.0,8.0,130.0,normal
9:00:00 PM,11.0,Wednesday,95.0,25.0,17.0,29.0,166.0,high
9:15:00 PM,11.0,Wednesday,78.0,17.0,17.0,27.0,139.0,high
9:30:00 PM,11.0,Wednesday,98.0,16.0,16.0,,151.0,high
9:45:00 PM,11.0,Wednesday,86.0,13.0,11.0,35.0,145.0,high
10:00:00 PM,11.0,Wednesday,18.0,4.0,,,38.0,
10:15:00 PM,11.0,Wednesday,,5.0,0.0,12.0,35.0,low
10:30:00 PM,,Wednesday,18.0,2.0,1.0,25.0,46.0,normal
10:45:00 PM,,Wednesday,18.0,1.0,0.0,17.0,,normal
11:00:00 PM,11.0,Wednesday,18.0,5.0,0.0,21.0,44.0,normal
11:15:00 PM,11.0,Wednesday,18.0,0.0,1.0,12.0,31.0,low
,11.0,Wednesday,18.0,3.0,1.0,28.0,50.0,normal
11:45:00 PM,11.0,Wednesday,18.0,4.0,1.0,40.0,63.0,normal
12:00:00 AM,,Thursday,18.0,1.0,1.0,39.0,59.0,normal
12:15:00 AM,,Thursday,18.0,,0.0,,52.0,normal
12:30:00 AM,,Thursday,18.0,5.0,1.0,13.0,37.0,normal
12:45:00 AM,12.0,Thursday,18.0,2.0,0.0,37.0,57.0,normal
1:00:00 AM,,Thursday,18.0,0.0,0.0,13.0,31.0,normal
1:15:00 AM,12.0,Thursday,18.0,5.0,0.0,11.0,34.0,low
1:30:00 AM,12.0,Thursday,18.0,5.0,1.0,12.0,36.0,low
,12.0,Thursday,18.0,1.0,1.0,16.0,36.0,normal
2:00:00 AM,12.0,Thursday,18.0,,,34.0,54.0,
2:15:00 AM,12.0,Thursday,18.0,1.0,0.0,,43.0,normal
,12.0,Thursday,18.0,,0.0,23.0,41.0,normal
2:45:00 AM,12.0,Thursday,18.0,0.0,0.0,27.0,,normal
3:00:00 AM,,Thursday,18.0,5.0,0.0,28.0,51.0,normal
3:15:00 AM,12.0,Thursday,18.0,1.0,0.0,14.0,33.0,normal
3:30:00 AM,12.0,Thursday,18.0,5.0,0.0,25.0,48.0,normal
3:45:00 AM,12.0,Thursday,18.0,4.0,1.0,30.0,53.0,normal
4:00:00 AM,12.0,Thursday,18.0,5.0,1.0,30.0,54.0,normal
4:15:00 AM,12.0,Thursday,62.0,24.0,7.0,2.0,95.0,
4:30:00 AM,12.0,Thursday,51.0,23.0,6.0,1.0,81.0,low
4:45:00 AM,12.0,,114.0,23.0,10.0,19.0,166.0,normal
5:00:00 AM,12.0,Thursday,85.0,22.0,9.0,9.0,,normal
5:15:00 AM,12.0,Thursday,102.0,,4.0,,150.0,normal
5:30:00 AM,12.0,Thursday,101.0,18.0,3.0,17.0,139.0,normal
5:45:00 AM,12.0,,116.0,19.0,,17.0,152.0,normal
6:00:00 AM,12.0,Thursday,,38.0,50.0,5.0,210.0,heavy
6:15:00 AM,12.0,Thursday,114.0,32.0,34.0,,182.0,heavy
6:30:00 AM,12.0,Thursday,120.0,17.0,23.0,,161.0,normal
6:45:00 AM,,Thursday,145.0,20.0,25.0,2.0,,heavy
7:00:00 AM,,Thursday,125.0,30.0,48.0,1.0,204.0,heavy
7:15:00 AM,12.0,Thursday,103.0,27.0,45.0,1.0,176.0,heavy
7:30:00 AM,12.0,Thursday,114.0,20.0,43.0,1.0,178.0,heavy
7:45:00 AM,,,145.0,10.0,44.0,1.0,200.0,heavy
8:00:00 AM,12.0,Thursday,147.0,,20.0,4.0,202.0,heavy
8:15:00 AM,12.0,Thursday,104.0,24.0,40.0,0.0,168.0,heavy
,12.0,Thursday,124.0,11.0,22.0,0.0,157.0,normal
8:45:00 AM,12.0,Thursday,101.0,37.0,31.0,4.0,173.0,heavy
9:00:00 AM,12.0,Thursday,,30.0,37.0,1.0,212.0,heavy
9:15:00 AM,12.0,Thursday,24.0,18.0,37.0,18.0,97.0,normal
9:30:00 AM,12.0,Thursday,24.0,8.0,17.0,25.0,74.0,normal
9:45:00 AM,12.0,Thursday,16.0,22.0,,20.0,70.0,normal
10:00:00 AM,12.0,Thursday,26.0,2.0,39.0,26.0,93.0,normal
10:15:00 AM,12.0,Thursday,90.0,7.0,18.0,15.0,130.0,normal
10:30:00 AM,12.0,Thursday,59.0,6.0,,11.0,87.0,low
10:45:00 AM,12.0,Thursday,28.0,,22.0,18.0,75.0,normal
11:00:00 AM,12.0,Thursday,60.0,5.0,,21.0,100.0,normal
11:15:00 AM,12.0,Thursday,,9.0,8.0,23.0,,
,12.0,Thursday,59.0,9.0,12.0,26.0,106.0,normal
11:45:00 AM,,,24.0,10.0,5.0,,60.0,normal
12:00:00 PM,12.0,Thursday,41.0,7.0,7.0,21.0,76.0,
12:15:00 PM,12.0,,48.0,10.0,9.0,29.0,96.0,normal
12:30:00 PM,12.0,Thursday,59.0,10.0,14.0,23.0,106.0,normal
12:45:00 PM,12.0,Thursday,67.0,7.0,12.0,28.0,114.0,
1:00:00 PM,12.0,Thursday,52.0,9.0,,20.0,89.0,normal
1:15:00 PM,12.0,Thursday,,,29.0,10.0,110.0,
,12.0,Thursday,14.0,21.0,7.0,18.0,,
1:45:00 PM,12.0,Thursday,55.0,,24.0,,111.0,normal
,12.0,Thursday,45.0,14.0,39.0,5.0,103.0,
2:15:00 PM,12.0,Thursday,90.0,17.0,16.0,11.0,134.0,normal
2:30:00 PM,12.0,Thursday,33.0,21.0,25.0,5.0,84.0,normal
2:45:00 PM,12.0,Thursday,118.0,25.0,31.0,13.0,,heavy
3:00:00 PM,12.0,Thursday,86.0,28.0,13.0,5.0,,normal
3:15:00 PM,12.0,Thursday,105.0,,22.0,12.0,168.0,heavy
,12.0,Thursday,10.0,19.0,26.0,8.0,63.0,normal
3:45:00 PM,12.0,Thursday,46.0,22.0,,9.0,95.0,normal
4:00:00 PM,12.0,Thursday,105.0,,48.0,6.0,194.0,heavy
4:15:00 PM,12.0,Thursday,135.0,37.0,34.0,5.0,211.0,heavy
4:30:00 PM,12.0,Thursday,,29.0,44.0,6.0,182.0,heavy
4:45:00 PM,12.0,Thursday,113.0,13.0,42.0,10.0,178.0,heavy
5:00:00 PM,12.0,Thursday,103.0,20.0,27.0,,159.0,high
5:15:00 PM,,Thursday,150.0,13.0,20.0,9.0,192.0,heavy
5:30:00 PM,,Thursday,116.0,,33.0,8.0,182.0,heavy
5:45:00 PM,12.0,Thursday,109.0,16.0,41.0,9.0,175.0,heavy
6:00:00 PM,12.0,Thursday,112.0,11.0,50.0,5.0,,heavy
6:15:00 PM,12.0,Thursday,104.0,31.0,30.0,5.0,170.0,
6:30:00 PM,12.0,Thursday,146.0,18.0,40.0,6.0,210.0,heavy
6:45:00 PM,,Thursday,110.0,24.0,10.0,29.0,173.0,heavy
7:00:00 PM,12.0,,60.0,15.0,12.0,25.0,112.0,
7:15:00 PM,12.0,Thursday,103.0,9.0,14.0,29.0,155.0,high
7:30:00 PM,12.0,Thursday,102.0,6.0,,6.0,129.0,normal
7:45:00 PM,12.0,Thursday,51.0,17.0,16.0,8.0,92.0,normal
8:00:00 PM,,Thursday,62.0,12.0,11.0,18.0,103.0,normal
8:15:00 PM,12.0,Thursday,103.0,14.0,12.0,,,normal
8:30:00 PM,12.0,Thursday,50.0,7.0,11.0,23.0,91.0,normal
8:45:00 PM,,Thursday,80.0,14.0,20.0,6.0,120.0,normal
9:00:00 PM,12.0,Thursday,98.0,13.0,18.0,21.0,150.0,high
9:15:00 PM,12.0,Thursday,,25.0,20.0,13.0,111.0,
9:30:00 PM,12.0,Thursday,52.0,8.0,10.0,,97.0,normal
9:45:00 PM,12.0,Thursday,71.0,23.0,,21.0,,high
10:00:00 PM,12.0,Thursday,17.0,3.0,0.0,29.0,49.0,normal
10:15:00 PM,12.0,Thursday,20.0,,1.0,36.0,62.0,normal
10:30:00 PM,12.0,Thursday,,0.0,0.0,32.0,47.0,normal
10:45:00 PM,12.0,Thursday,15.0,0.0,1.0,20.0,36.0,normal
11:00:00 PM,12.0,Thursday,14.0,2.0,,23.0,39.0,
11:15:00 PM,,Thursday,13.0,1.0,0.0,29.0,43.0,normal
11:30:00 PM,12.0,Thursday,14.0,5.0,,31.0,50.0,normal
,12.0,,16.0,3.0,,33.0,52.0,normal
,13.0,Friday,,4.0,1.0,15.0,38.0,normal
12:15:00 AM,13.0,Friday,20.0,0.0,1.0,23.0,44.0,normal
12:30:00 AM,13.0,Friday,19.0,3.0,0.0,16.0,38.0,normal
,13.0,Friday,,3.0,0.0,12.0,25.0,low
1:00:00 AM,13.0,Friday,10.0,4.0,0.0,23.0,37.0,normal
1:15:00 AM,13.0,Friday,12.0,,0.0,29.0,46.0,normal
1:30:00 AM,,Friday,10.0,0.0,0.0,39.0,49.0,normal
1:45:00 AM,13.0,Friday,16.0,2.0,1.0,21.0,,normal
2:00:00 AM,13.0,Friday,18.0,4.0,1.0,36.0,59.0,normal
2:15:00 AM,13.0,Friday,,1.0,0.0,14.0,30.0,normal
2:30:00 AM,,Friday,17.0,4.0,0.0,13.0,34.0,normal
2:45:00 AM,13.0,Friday,18.0,3.0,1.0,24.0,46.0,normal
3:00:00 AM,,Friday,19.0,2.0,0.0,11.0,32.0,low
3:15:00 AM,13.0,Friday,19.0,3.0,,,43.0,normal
3:30:00 AM,13.0,Friday,19.0,3.0,1.0,,54.0,
3:45:00 AM,13.0,Friday,,2.0,1.0,19.0,,normal
4:00:00 AM,13.0,Friday,11.0,,0.0,27.0,38.0,normal
4:15:00 AM,13.0,Friday,27.0,6.0,1.0,11.0,,low
4:30:00 AM,13.0,Friday,33.0,11.0,6.0,,63.0,
4:45:00 AM,13.0,Friday,63.0,,7.0,10.0,86.0,low
,13.0,Friday,58.0,13.0,4.0,15.0,90.0,normal
5:15:00 AM,13.0,Friday,57.0,11.0,7.0,10.0,85.0,low
5:30:00 AM,13.0,Friday,63.0,10.0,6.0,12.0,,low
5:45:00 AM,13.0,Friday,74.0,9.0,0.0,,98.0,normal
6:00:00 AM,13.0,Friday,71.0,9.0,,10.0,97.0,low
6:15:00 AM,13.0,,33.0,9.0,6.0,13.0,61.0,normal
6:30:00 AM,13.0,Friday,29.0,,1.0,12.0,48.0,low
6:45:00 AM,13.0,Friday,32.0,9.0,3.0,11.0,,low
7:00:00 AM,13.0,Friday,57.0,14.0,3.0,11.0,,low
7:15:00 AM,13.0,Friday,31.0,11.0,,14.0,56.0,normal
7:30:00 AM,13.0,,30.0,9.0,3.0,10.0,52.0,low
7:45:00 AM,13.0,Friday,,8.0,7.0,12.0,88.0,low
8:00:00 AM,13.0,Friday,47.0,,,10.0,71.0,low
8:15:00 AM,13.0,Friday,80.0,16.0,4.0,15.0,115.0,normal
,13.0,Friday,,10.0,2.0,,71.0,low
,13.0,Friday,58.0,7.0,5.0,13.0,83.0,normal
9:00:00 AM,13.0,,53.0,19.0,1.0,10.0,83.0,low
9:15:00 AM,13.0,Friday,132.0,,25.0,0.0,204.0,heavy
9:30:00 AM,13.0,Friday,,52.0,15.0,0.0,198.0,heavy
9:45:00 AM,13.0,Friday,171.0,59.0,27.0,,260.0,heavy
10:00:00 AM,13.0,Friday,131.0,43.0,20.0,,197.0,heavy
10:15:00 AM,13.0,Friday,177.0,56.0,12.0,4.0,249.0,heavy
10:30:00 AM,13.0,Friday,160.0,,30.0,3.0,240.0,heavy
10:45:00 AM,13.0,Friday,178.0,68.0,28.0,4.0,278.0,heavy
11:00:00 AM,13.0,Friday,169.0,70.0,20.0,3.0,262.0,heavy
11:15:00 AM,13.0,Friday,,56.0,25.0,2.0,216.0,heavy
11:30:00 AM,13.0,Friday,151.0,52.0,13.0,0.0,216.0,
11:45:00 AM,13.0,Friday,179.0,46.0,27.0,3.0,255.0,
12:00:00 PM,13.0,Friday,,68.0,20.0,0.0,232.0,heavy
12:15:00 PM,13.0,Friday,162.0,46.0,19.0,2.0,229.0,heavy
12:30:00 PM,13.0,Friday,159.0,44.0,,2.0,228.0,
12:45:00 PM,13.0,,174.0,67.0,30.0,1.0,,heavy
1:00:00 PM,13.0,Friday,136.0,,29.0,4.0,226.0,
1:15:00 PM,13.0,Friday,156.0,42.0,12.0,3.0,213.0,heavy
1:30:00 PM,13.0,Friday,175.0,63.0,19.0,3.0,260.0,heavy
1:45:00 PM,13.0,Friday,172.0,62.0,20.0,2.0,256.0,heavy
,13.0,Friday,171.0,,15.0,0.0,235.0,heavy
2:15:00 PM,13.0,Friday,172.0,65.0,18.0,2.0,257.0,heavy
2:30:00 PM,13.0,Friday,176.0,50.0,13.0,1.0,240.0,heavy
2:45:00 PM,13.0,Friday,153.0,50.0,23.0,3.0,229.0,heavy
3:00:00 PM,13.0,Friday,148.0,64.0,27.0,0.0,239.0,heavy
3:15:00 PM,,Friday,56.0,28.0,6.0,2.0,92.0,low
3:30:00 PM,13.0,Friday,88.0,26.0,25.0,0.0,139.0,normal
3:45:00 PM,13.0,Friday,82.0,23.0,14.0,0.0,119.0,normal
4:00:00 PM,,Friday,77.0,,7.0,0.0,104.0,low
4:15:00 PM,13.0,Friday,66.0,,1.0,0.0,91.0,low
4:30:00 PM,13.0,Friday,,22.0,8.0,2.0,104.0,low
4:45:00 PM,13.0,,62.0,28.0,,2.0,113.0,normal
5:00:00 PM,13.0,Friday,66.0,26.0,4.0,1.0,97.0,low
5:15:00 PM,13.0,Friday,85.0,20.0,4.0,0.0,109.0,low
,13.0,Friday,87.0,,11.0,2.0,124.0,
5:45:00 PM,13.0,Friday,67.0,28.0,25.0,0.0,120.0,normal
6:00:00 PM,13.0,Friday,70.0,26.0,16.0,2.0,114.0,normal
6:15:00 PM,13.0,Friday,62.0,20.0,20.0,1.0,103.0,normal
